Site #,Vendor Name,Vendor Link,SiteName,Location,City,State,Zip,Outage Map Flag,Latitude,Longitude
0646,NATIONAL GRID,https://www.nationalgridus.com/MA-Home/Outage-Central/Outage-Map,Cicero / SYRACUSE,5864 Carmenica Drive,CICERO,NEW YORK,13039,N/A,43.1778,-75.9749
0649,Georgia Power Co,"",AUGUSTA,145 Mason McKnight Jr Pkwy,AUGUSTA,GEORGIA,30907,N/A,33.5152,-82.0877
0650,JACKSON ENERGY AUTHORITY,https://www.jaxenergy.com/outage-center,JACKSON,1523 Vann Drive,JACKSON,TENNESSEE,38305,N/A,35.6732,-88.8565
0659,EVERGY,https://outagemap.evergy.com/,Wichita,3928 S Oak Street,WICHITA,KANSAS,67217,N/A,37.6199,-97.337
0662,CONNEXUS ENERGY,https://experience.arcgis.com/experience/3ef36487143d4dc28dad813f667a40d9,Forest Lake,14640 W FREEWAY DR,COLUMBUS,MINNESOTA,55025,N/A,45.2718,-93.0109
0686,AMEREN Illinois,"",Marion,2480 Blue Heron Dr,MARION,ILLINOIS,62959,N/A,37.7418,-88.9477
0687,CLECO POWER LLC,https://cleco.datacapable.com/map/,Breaux Bridge LA,2310 N Frontage Rd,BREAUX BRIDGE,LOUISIANA,70517,N/A,30.29728955,-91.91260533
0694,EVERSOURCE,https://outagemap.eversource.com/external/default.html,Hatfield MA,188 Wet Street Route 5 West Hatfield,HATFIELD,MASSACHUSETTS,01088,N/A,42.390785,-72.632627
0697,CENTRAL HUDSON GAS AND ELECTRIC CORPORATION,https://outagemap.cenhud.com/,Albany NY,12634 Route 9 West West Coxsackie,ALBANY,NEW YORK,12288,N/A,42.389552,-73.828608
0940,BOONE REMC,https://ebill.bremc.com/maps/OutageWebMap/,distribution center,300 Purity Dr,LEBANON,INDIANA,46052,N/A,40.0418,-86.4695
0942,GREENVILLE UTILITIES,https://outagemap.gucapps.com/,0942,111 Red Banks Rd,GREENSBORO,NORTH CAROLINA,27403,N/A,36.0618,-79.8459
HQIL,COMED,https://www.comed.com/outages/experiencing-an-outage/outage-map,Lincolnshire,2 Marriott Dr,LINCOLNSHIRE,ILLINOIS,60069,N/A,42.1963,-87.9288
